hour,day,month,dayofweek,gen_lag_1,gen_lag_24
0,9,1,5,1.0,1.0
1,9,1,5,1.0,1.0
2,9,1,5,1.0,1.0
3,9,1,5,1.0,0.0
4,9,1,5,1.0,0.0
5,9,1,5,0.0,0.0
6,9,1,5,0.0,25.0
7,9,1,5,8.0,451.0
8,9,1,5,425.0,1394.0
9,9,1,5,1796.0,2245.0
10,9,1,5,2641.0,2768.0
11,9,1,5,3165.0,3604.0
12,9,1,5,3164.0,2949.0
13,9,1,5,2973.0,1865.0
14,9,1,5,2085.0,933.0
15,9,1,5,948.0,167.0
16,9,1,5,155.0,29.0
17,9,1,5,29.0,29.0
18,9,1,5,29.0,29.0
19,9,1,5,29.0,29.0
20,9,1,5,29.0,29.0
21,9,1,5,29.0,29.0
22,9,1,5,29.0,29.0
23,9,1,5,29.0,1.0
0,10,1,6,1.0,1.0
1,10,1,6,1.0,1.0
2,10,1,6,0.0,1.0
3,10,1,6,1.0,1.0
4,10,1,6,0.0,0.0
5,10,1,6,0.0,0.0
6,10,1,6,0.0,8.0
7,10,1,6,14.0,425.0
8,10,1,6,641.0,1796.0
9,10,1,6,2037.0,2641.0
10,10,1,6,3467.0,3165.0
11,10,1,6,4433.0,3164.0
12,10,1,6,4781.0,2973.0
13,10,1,6,4340.0,2085.0
14,10,1,6,2888.0,948.0
15,10,1,6,1383.0,155.0
16,10,1,6,211.0,29.0
17,10,1,6,29.0,29.0
18,10,1,6,29.0,29.0
19,10,1,6,29.0,29.0
20,10,1,6,29.0,29.0
21,10,1,6,29.0,29.0
22,10,1,6,29.0,29.0
23,10,1,6,29.0,1.0
0,11,1,0,0.0,1.0
1,11,1,0,0.0,0.0
2,11,1,0,0.0,1.0
3,11,1,0,0.0,0.0
4,11,1,0,0.0,0.0
5,11,1,0,0.0,0.0
6,11,1,0,0.0,14.0
7,11,1,0,30.0,641.0
8,11,1,0,585.0,2037.0
9,11,1,0,1418.0,3467.0
10,11,1,0,2338.0,4433.0
11,11,1,0,2583.0,4781.0
12,11,1,0,3178.0,4340.0
13,11,1,0,2535.0,2888.0
14,11,1,0,1772.0,1383.0
15,11,1,0,1004.0,211.0
16,11,1,0,214.0,29.0
17,11,1,0,29.0,29.0
18,11,1,0,29.0,29.0
19,11,1,0,29.0,29.0
20,11,1,0,29.0,29.0
21,11,1,0,29.0,29.0
22,11,1,0,29.0,29.0
23,11,1,0,29.0,0.0
0,12,1,1,0.0,0.0
1,12,1,1,0.0,0.0
